StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
68,68,224808,,,,,0.01337575,16.98896499,31.44654088,-99.69,-315.9,,8.79,6.3021356,K0,0.94,30.07406,0.10531,9.18828,1.41E-05,-1.51E-05,-4.61E-05
69,69,224804,,,,,0.01342478,30.39589283,157.480315,16.48,-1.3,,8.33,2.343868626,A0,0.135,135.83379,0.4774,79.68061,4.57E-07,1.26E-05,-8.56E-07
70,70,,,,,,0.01352,36.77763945,190.4761905,-46.78,-0.88,,10.42,4.020796517,,0.706,152.56382,0.54,114.0402,6.39E-07,-4.32E-05,-6.50E-07
71,71,224803,,,,,0.01380665,36.78015328,109.5290252,-24.5,-19.47,,8.26,3.062353888,G5,0.846,87.72547,0.31709,65.58008,6.24E-06,-1.30E-05,-8.28E-06
72,72,224810,,,,,0.01463132,-12.82867015,94.07337723,185.34,-119.65,,8.97,4.102666323,G3/G5V,0.671,91.72447,0.35134,-20.88771,-1.24E-05,8.45E-05,-5.32E-05
73,73,224826,,,,,0.01469714,66.84796687,251.8891688,-20.78,18.19,,6.9,-0.106047466,K2,1.446,99.0351,0.38105,231.60322,-2.03E-05,-2.55E-05,8.73E-06
74,74,,,,,,0.01479152,35.75272213,41.28819158,157.73,-40.31,,9.93,6.850870694,K5,1.068,33.50702,0.12975,24.1242,4.59E-06,3.16E-05,-6.55E-06
75,75,224821,,,,,0.01487747,-50.446465,625,29.01,2.56,,7.42,-1.559400087,K4III,1.524,397.9963,1.55016,-481.89369,5.64E-06,8.79E-05,4.94E-06
76,76,,,,,,0.01521463,32.82567452,436.6812227,-1.98,-8.45,,9.03,0.829177412,M0,1.67,366.9507,1.46163,236.71826,9.71E-06,-4.15E-06,-1.50E-05
77,77,224820,,,,,0.01536811,-30.06417333,283.286119,18.83,2.83,,8.41,1.148873527,A0V,0.022,245.17219,0.98642,-141.91775,1.84E-06,2.59E-05,3.36E-06
78,78,224816,,,,,0.01548753,17.86784193,854.7008547,-0.51,3.68,,8.06,-1.599070691,K0,1.203,813.46917,3.29833,262.24143,-4.67E-06,-2.13E-06,1.45E-05
79,79,,,,,,0.01571485,35.31675386,218.8183807,16.45,-13.81,,8.69,1.989581,F5,0.529,178.54741,0.73457,126.49808,8.40E-06,1.75E-05,-1.20E-05
80,80,224817,,,,,0.01611947,-11.82353722,64.14368185,419.04,-82.83,,8.4,4.364230576,G2V,0.566,62.7822,0.26494,-13.14292,-5.83E-06,0.000130277,-2.52E-05
81,81,224828,,,,,0.01625762,-4.93211471,42.68032437,-184.7,-172.67,,8.57,5.418861443,G5,0.642,42.5219,0.18098,-3.66945,-2.91E-06,-3.82E-05,-3.56E-05
82,82,,,,,,0.01653544,-10.9358054,549.4505495,-6.01,-65.06,,9.5,0.80035694,G5,1.107,539.46766,2.33535,-104.23574,-3.28E-05,-1.62E-05,-0.000170145
83,83,236274,,,,,0.01653873,52.08056444,438.5964912,-2.1,-0.99,,8.85,0.639674235,M0,1.726,269.53819,1.16706,345.99809,1.68E-06,-4.46E-06,-1.29E-06
84,84,,,,,,0.01678714,27.88634368,52.91005291,225.55,-5.46,,9.61,5.992309021,K0,0.852,46.76553,0.20552,24.74704,4.00E-07,5.79E-05,-1.24E-06
85,85,,,,,,0.01706715,-24.71404902,256.4102564,48.48,0.49,,10.62,3.575323035,A2,0.359,232.92221,1.04074,-107.20252,-1.40E-08,6.03E-05,5.53E-07
86,86,224836,,,,,0.01735884,69.6034983,288.184438,11.53,2.67,,8.05,0.751647374,B9,0.018,100.43551,0.45643,270.11621,-3.57E-06,1.61E-05,1.30E-06
87,87,224829,,,,,0.01743437,-5.83497569,221.2389381,-7.83,-10.91,,7.8,1.075692174,F5,0.43,220.09036,1.00456,-22.49194,-1.15E-06,-8.40E-06,-1.16E-05
88,88,224834,9081,,Tau Phe,,0.01794397,-48.80985919,167.5041876,-17.92,-6.75,8,5.71,-0.410128344,G8III,0.911,110.31033,0.51821,-126.05163,1.33E-06,-1.45E-05,-9.77E-06
